1850	रूपरेखा	mr	\N	\N	925		20	रूपरेखा	0	0	1	0			1
1851	AVG Internet Security वर करावयाचे बदल	mr	\N	\N	610		20	AVG Internet Security वर करावयाचे बदल	0	1	1	0			1
2529	लोकेशन बार शोध	mr	\N	\N	592		20	लोकेशन बार शोध	0	0	1	0			1
2537	तल्लख कळीचे शब्द	mr	\N	\N	490		20	तल्लख कळीचे शब्द	0	0	1	0			1
3078	विन्डोज सेव्हन वर फायरफॉक्स व्यवस्थित चालेल का	mr	\N	\N	763		20	विन्डोज सेव्हन वर फायरफॉक्स व्यवस्थित चालेल का	0	1	1	0			1
3087	फायरफॉक्सला डिफॉल्ट वेब ब्राउजर कसे बनवावे	mr	\N	\N	770		20	फायरफॉक्सला डिफॉल्ट वेब ब्राउजर कसे बनवावे	0	0	1	0			1
4532	किबोर्ड शॉर्टकट	mr	\N	\N	868		20	किबोर्ड शॉर्टकट	0	0	1	0			1
8638	विंडोज़ मीडिया प्लयेर प्लगइन फ़ायरफ़ॉक्स मध्ये कसे वापराल	mr	\N	\N	907		20	विंडोज़ मीडिया प्लयेर प्लगइन फ़ायरफ़ॉक्स मध्ये कसे वापराल	0	0	1	0			1
9347	फायरफॉक्स कसे प्रस्थापित करावे	mr	\N	\N	699		20	फायरफॉक्स कसे प्रस्थापित करावे	0	1	1	0			1
9378	विंडोज ऑपरेटिंग सिस्टम वर फायरफॉक्स प्रस्थापित करणे	mr	\N	\N	729		20	विंडोज ऑपरेटिंग सिस्टम वर फायरफॉक्स प्रस्थापित करणे	0	0	1	0			1
14088	वेबसाइटवर संवादी सामग्री पाहण्यासाठी जावा प्लगइन वापरा	mr	\N	\N	824		20	वेबसाइटवर संवादी सामग्री पाहण्यासाठी जावा प्लगइन वापरा	0	0	1	0			1
19119	मला माझ्या स्थानिक भाषेत webmaker चा अनुवाद करायचे आहे .	mr	\N	\N	14723		20	अनुवाद-webmaker	0	1	1	0			1
19120	फायरफॉक्स रीसेट - अतिसुलभतेने समस्या सोडवा	mr	\N	\N	8191		20	रीसेट-Firefox-सहज- सोडवा सर्व-समस्या	0	0	1	0			1
